SCHOOLID,Lat,Long,policy_implementation
610299,41.7653075455,-87.6413336817,NA
610300,41.748868,-87.634751,NA
610308,41.883568,-87.669477,NA
610312,41.733132,-87.589589,NA
610315,41.6722819704,-87.6505377409,NA
610316,41.7260800217,-87.5821808889,NA
610317,41.8238993023,-87.6921136049,NA
610319,41.8293550508,-87.6678531947,NA
610325,41.9339427625,-87.7080400421,NA
610329,41.8577273722,-87.675209851100007,NA
610339,41.7589247325,-87.6492166936,NA
610340,41.9421377375,-87.7764315436,NA
610342,41.9067883749,-87.6830491568,NA
610350,41.7296918105,-87.5766795781,NA
610352,41.7388432818,-87.7299919208,NA
610353,41.824349892,-87.7116528769,NA
610354,41.961721,-87.707151,NA
610357,41.8477616949,-87.6989461065,NA
610362,41.7156648242,-87.6393420883,NA
610363,41.956816,-87.646083,NA
610364,41.6537055394,-87.6143199049,NA
610366,41.716193,-87.648044,NA
610369,41.734125,-87.646767,NA
610380,41.8045587818,-87.6244105618,NA
610383,41.833507,-87.735299,NA
610384,41.8360356838,-87.7341216352,NA
610386,41.8035147161,-87.667377765,NA
610390,41.98902071,-87.6657885083,NA
610392,41.8343966172,-87.7352922173,NA
610396,41.7643796388,-87.7064440062,NA
610402,41.9413876402,-87.6907613918,NA
610405,41.8831870827,-87.6776352888,NA
610499,41.8641432818,-87.7020776088,NA
610515,41.9504605058,-87.7306783758,NA
610520,41.902914,-87.673696,NA
610521,41.771221,-87.66653,NA
610523,41.9942377128,-87.8137344489,NA
610529,41.8935202033,-87.6594038896,NA
610532,41.7934518969,-87.7113690304,NA
610533,41.9213167955,-87.7658172994,NA
610534,41.9050816857,-87.6448406242,NA
610539,41.9349306229,-87.770127258,NA
610541,41.9400259138,-87.7247831232,NA
610542,42.0029587615,-87.7058804162,NA
610543,41.7952005554,-87.7110588222,NA
610544,41.771079,-87.73992,NA
610548,41.8685484462,-87.6649682527,NA
610557,41.735211585,-87.7040593885,NA
610558,41.7537492043,-87.707381987,NA
